Country Name,Country Code,Region,"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)","Annualized growth in per capita real survey mean consumption or income, top 10% (%)","Annualized growth in per capita real survey mean consumption or income, top 60% (%)","Annualized growth in per capita real survey mean consumption or income, total population (%)",GINI index (World Bank estimate),Growth component of change in poverty at $1.90 a day (2011 PPP) (% of change),Growth component of change in poverty at $3.20 a day (2011 PPP) (% of change),Growth component of change in poverty at $5.50 a day (2011 PPP) (% of change),Income share held by fourth 20%,Income share held by highest 10%,Income share held by highest 20%,Income share held by lowest 10%,Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,Number of poor at $1.90 a day (2011 PPP) (millions),Number of poor at $3.20 a day (2011 PPP) (millions),Number of poor at $5.50 a day (2011 PPP) (millions),"Population, total",Poverty gap at $1.90 a day (2011 PPP) (%),Poverty gap at $3.20 a day (2011 PPP) (% of population),Poverty gap at $5.50 a day (2011 PPP) (% of population),Poverty gap at national poverty lines (%),"Poverty gap at national poverty lines (%), including noncomparable values",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Poverty headcount ratio at national poverty lines (% of population), including noncomparable values",Redistribution component of change in poverty at $1.90 a day (2011 PPP) (% of change),Redistribution component of change in poverty at $3.20 a day (2011 PPP) (% of change),Redistribution component of change in poverty at $5.50 a day (2011 PPP) (% of change),Rural poverty gap at national poverty lines (%),"Rural poverty gap at national poverty lines (%), including noncomparable values",Rural poverty headcount ratio at national poverty lines (% of rural population),"Rural poverty headcount ratio at national poverty lines (% of rural population), including noncomparable values","Survey mean consumption or income per capita, bottom 40% (2011 PPP $ per day)","Survey mean consumption or income per capita, top 10% (2011 PPP $ per day)","Survey mean consumption or income per capita, top 60% (2011 PPP $ per day)","Survey mean consumption or income per capita, total population (2011 PPP $ per day)",Urban poverty gap at national poverty lines (%),"Urban poverty gap at national poverty lines (%), including noncomparable values",Urban poverty headcount ratio at national poverty lines (% of urban population),"Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values"
Afghanistan,AFG,Southern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33736494,0,0,0,8.4,8.4,0,0,0,35.8,35.8,0,0,0,9.3,9.3,38.3,38.3,0,0,0,0,5.6,5.6,27.6,27.6
Albania,ALB,Southern Europe,-1.22,-2.89,-1.34,-1.31,29,0,0,0,22.8,22.9,37.8,3.7,8.9,13.2,17.3,0,0.2,1.1,2880703,0.2,1.6,10.3,2.9,2.9,1.1,7.7,39.1,14.3,14.3,0,0,0,3,3,15.3,15.3,4.08,16.99,9.62,7.41,2.9,2.9,13.6,13.6
Algeria,DZA,Northern Africa,0,0,0,0,27.6,0,0,0,22.3,22.9,37.2,4,9.4,13.7,17.5,0.2,1.4,10.7,39871528,0.2,0.8,6.7,0,0,0.5,3.9,29.2,5.5,5.5,0,0,0,0.8,0.8,4.8,4.8,0,0,0,0,1.1,1.1,5.8,5.8
Angola,AGO,Sub-Saharan Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27859305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Latin America and the Caribbean,0,-1.57,-0.74,0,41.4,0,0,0.23,23.4,29.5,46.6,1.8,5.1,9.8,15.2,0.3,1.1,3.6,43417765,0.3,0.8,2.9,0,0,0.7,2.8,9.1,0,0,100,100,99.77,0,0,0,0,8.44,59.28,27.5,23.25,0,0,4.7,4.7
Armenia,ARM,Western Asia,0,4.72,4.58,0,32.4,0,232.48,96.22,21.8,26.7,40.7,3.4,8.2,12.6,16.7,0.1,0.4,1.4,2916950,0.4,3,14.8,4.5,4.5,1.9,13.5,48.3,29.8,29.8,0,-132.48,3.78,4.5,4.5,29.9,29.9,3.16,17.98,8.89,5.66,4.5,4.5,30,30
Australia,AUS,Australia & North America,0,0,0,0,34.7,0,0,0,22.7,26.5,42,2.7,7.3,11.8,16.1,0.1,0.1,0.1,23850784,0.3,0.4,0.5,0,0,0.3,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,AUT,Western Europe,-0.47,-0.48,-0.11,-0.28,30.5,0,0,0,22.9,23.8,38.4,3,7.9,13.2,17.6,0.1,0.1,0.1,8633169,0.5,0.6,0.7,0,0,0.7,0.7,0.9,0,0,0,0,0,0,0,0,0,29.07,133.65,72.9,55.26,0,0,0,0
Azerbaijan,AZE,Western Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9649341,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Southern Asia,0,0,0,0,32.1,113.67,93.7,96.46,21.2,26.9,41.5,3.9,8.9,12.5,16,29.9,91.9,133.5,161200886,3.6,19,43.4,6.5,6.5,19.6,60.4,87.7,31.5,31.5,-13.67,6.3,3.54,7.4,7.4,35.2,35.2,1.88,9.65,4.7,3.52,4.3,4.3,21.3,21.3
Belarus,BLR,Eastern Europe,0,0,0,0,26.7,0,58.29,73.19,22.4,22.2,36.4,4,9.5,14,17.7,0,0,0.1,9489616,0,0,0.1,0,0,0,0,0.7,5.1,5.1,0,41.71,26.81,0,0,8.7,8.7,9.4,35.71,20.97,16.34,0,0,3.7,3.7
Belgium,BEL,Western Europe,0.57,-0.15,0.09,0.48,27.7,0,0,0,22.7,22.2,36.5,3.4,8.6,14,18.1,0,0,0,11274196,0,0.1,0.1,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,27.5,108.46,62.53,48.89,0,0,0,0
Belize,BLZ,Latin America and the Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,BEN,Sub-Saharan Africa,-4.8,2.25,0.87,0.04,47.8,2.47,8.23,-5.21,20.8,37.6,52.1,1,3.2,9.6,14.2,5.2,8.1,9.6,10575952,22.4,39.5,59.2,9.8,9.8,49.6,76.2,90.6,40.1,40.1,97.53,91.77,105.21,10.5,10.5,39.7,39.7,0.87,10.21,3.94,2.71,8.8,8.8,31.4,31.4
Bhutan,BTN,Southern Asia,0,7.44,6.45,0,38.8,0,0,0,21.4,30.7,46.1,2.7,6.7,10.8,15,0,0.1,0.3,787386,0.4,3.3,14.4,2.6,2.6,2.2,14.5,43.9,12,12,0,0,0,3.6,3.6,16.7,16.7,0,24.83,11.11,0,0.3,0.3,1.8,1.8
Bolivia,BOL,Latin America and the Caribbean,0,4.41,4.59,0,46.7,226.26,61.62,59.19,21.8,34.8,51.1,1.1,3.9,9,14.2,0.7,1.3,2.7,10724705,2.8,5.3,10.7,16.8,16.8,6.4,11.7,25.6,38.6,38.6,-126.26,38.38,40.81,30.5,30.5,57.6,57.6,4.07,49.82,20.01,12.56,10.5,10.5,30.6,30.6
Bosnia and Herzegovina,BIH,Southern Europe,-0.45,0,0,-0.79,32.7,0,0,0,22.8,25.1,40.5,3,7.7,12.4,16.6,0,0,0.1,3535961,0.1,0.2,0.9,0,0,0.2,0.8,3.8,16.9,16.9,0,0,0,0,0,0,0,9.34,0,0,18.65,0,0,0,0
Botswana,BWA,Sub-Saharan Africa,0,0,0,0,60.5,0,0,0,16.9,49.6,65,1.1,2.8,5.7,9.5,0.4,0.7,1.1,2209197,5.8,14.7,28.7,0,0,18.2,37.1,57.5,19.3,19.3,0,0,0,0,0,24.3,24.3,0,0,0,0,0,0,11,11
Brazil,BRA,Latin America and the Caribbean,3.8,1.43,2.04,2.19,51.3,37.38,53.64,60.3,19.7,40.4,56.1,1.2,3.6,7.9,12.7,6.9,16.5,39.9,205962108,1.2,2.9,7.3,0,0,3.4,8,19.4,8.7,8.7,62.62,46.36,39.7,0,0,0,0,5.54,70.14,25.57,19.25,0,0,0,0
Bulgaria,BGR,Eastern Europe,0.43,4.48,2.5,2.11,37.4,0,0,0,22.1,28.8,43.9,2,6,11.8,16.2,0.1,0.3,0.6,7177991,0.5,1.4,3.4,0,0,1.5,3.7,8.7,22.9,22.9,0,0,0,0,0,0,0,8.32,53.92,25.66,18.72,0,0,0,0
Burkina Faso,BFA,Sub-Saharan Africa,5.84,1.29,2.26,2.93,35.3,84.55,118.36,111.36,20.6,29.6,44.3,3.6,8.3,11.7,15,7.7,13.4,16.2,18110624,11.1,32.2,54.9,9.7,9.7,43.7,76.4,92.3,40.1,40.1,15.45,-18.36,-11.36,11.6,11.6,47.5,47.5,1.38,8.15,3.67,2.76,2.9,2.9,13.7,13.7
Burundi,BDI,Sub-Saharan Africa,0,0,0,0,38.6,0,0,0,20.8,31,46.3,2.8,6.9,11,15,7.1,8.8,9.6,10199270,30.3,51.5,69.2,25.1,25.1,71.7,89.2,96.8,64.9,64.9,0,0,0,26.9,26.9,68.8,68.8,0,0,0,0,9.2,9.2,27.6,27.6
Cabo Verde,CPV,Sub-Saharan Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532913,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,KHM,Central & Eastern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15517635,0,0,0,3.1,3.1,0,0,0,17.7,17.7,0,0,0,0,0,20.8,20.8,0,0,0,0,0,0,6.4,6.4
Cameroon,CMR,Sub-Saharan Africa,0,4.55,4.1,0,46.6,0,0,0,21.6,35,51.7,1.7,4.5,8.5,13.7,5.3,10,15.3,22834522,7.6,18.7,35.1,14.4,14.4,23.8,44.8,69,37.5,37.5,0,0,0,22.9,22.9,56.8,56.8,0,18.42,7.64,0,1.8,1.8,8.9,8.9
Canada,CAN,Australia & North America,0,0,0,0,34,0,0,0,23.3,25.3,40.8,2.4,6.6,12.3,17,0.1,0.2,0.4,35832513,0.2,0.3,0.5,0,0,0.3,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CAF,Sub-Saharan Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4546100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,TCD,Sub-Saharan Africa,0,0,0,0,43.3,0,0,0,21.8,32.4,48.8,1.8,4.9,9.7,14.8,4.7,8.2,10.6,14009413,15.3,30.8,50.6,19.7,19.7,38.4,66.5,86.2,46.7,46.7,0,0,0,22.6,22.6,52.5,52.5,0,0,0,0,6.6,6.6,20.9,20.9
Chile,CHL,Latin America and the Caribbean,5.97,4.72,5.41,5.49,47.7,71.01,82.77,94.56,19.7,38,53.6,1.7,4.8,8.9,13,0.2,0.5,1.8,17762681,0.8,1.3,3.3,0,0,1.3,3.1,10.1,11.7,11.7,28.99,17.23,5.44,0,0,27.9,27.9,7.37,82.28,31.13,21.63,0,0,12.4,12.4
China,CHN,Central & Eastern Asia,8.87,0,0,8.23,42.2,0,0,0,22.3,31.4,47.9,2.1,5.2,9.8,14.8,18.5,129.5,429.6,1371220000,0.3,2.1,9.7,0,0,1.4,9.5,31.5,5.7,5.7,0,0,0,0,0,7.2,7.2,0,0,0,0,0,0,0,0
Colombia,COL,Latin America and the Caribbean,0,-0.54,1.4,0,51.1,39.25,39.12,45.91,20,40,55.9,1.3,3.8,7.9,12.5,2.2,5.7,13.8,48228697,1.7,4.3,11,10.3,10.3,4.5,11.9,28.7,27.8,27.8,60.75,60.88,54.09,15.7,15.7,40.3,40.3,3.57,55.97,20.87,13.27,8.7,8.7,24.1,24.1
Comoros,COM,Sub-Saharan Africa,0,0,0,0,45.3,0,0,0,22.2,33.7,50.4,1.6,4.5,9.1,13.9,0.1,0.3,0.5,777424,6.3,15.4,31,0,0,18.1,38.1,63.5,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,0,0,0,0,42.1,0,0,0,21.6,32,48.4,2.1,5.5,10,14.5,53.2,63,67.5,76196619,39.2,58,73.7,0,0,77.1,91.3,97.8,63.9,63.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Congo, Rep.",COG,Sub-Saharan Africa,0,0,0,0,48.9,0,0,0,20.7,37.9,53.7,1.6,4.2,8.2,13.2,1.7,2.8,3.7,4995648,14.9,29.1,47.6,16.7,16.7,37,61.3,82.4,46.5,46.5,0,0,0,31.9,31.9,74.8,74.8,0,0,0,0,9.2,9.2,0,0
Costa Rica,CRI,Latin America and the Caribbean,0,1.71,1.98,0,48.4,87.63,146,96.11,20.6,36.8,53.9,1.5,4.3,8.4,12.8,0.1,0.2,0.6,4807852,0.6,1.4,3.9,8.8,8.8,1.5,4,11.5,21.7,21.7,12.37,-46,3.89,11.9,11.9,27.9,27.9,6.69,82.01,32.51,21.42,7.6,7.6,19.4,19.4
Cote d'Ivoire,CIV,Sub-Saharan Africa,0.74,-0.34,-0.24,-0.22,41.5,0,0,0,21.6,31.9,47.8,2.1,5.7,10.2,14.6,6.5,13.3,19,23108472,9.1,23.3,43.6,16.3,16.3,28.2,57.4,82.2,46.3,46.3,0,0,0,21.5,21.5,56.8,56.8,1.53,12.5,5.46,3.84,11.2,11.2,35.9,35.9
Croatia,HRV,Southern Europe,0.02,-2.54,-2.45,-0.65,30.8,0,0,0,23.5,23,38.1,2.7,7.3,13.1,17.9,0,0.1,0.2,4203604,0.4,0.6,1.7,0,0,0.7,1.5,5.8,19.5,19.5,0,0,0,0,0,0,0,9.29,43.31,24.02,18.22,0,0,0,0
Cyprus,CYP,Western Asia,-4.34,-1.21,-2.7,-3.04,34,0,0,0,21.7,27.4,42.1,3.2,7.9,12.1,16.2,0,0,0,1160985,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,21.66,120.93,56.41,43.38,0,0,0,0
Czech Republic,CZE,Eastern Europe,1.42,0,0.18,1.03,25.9,0,0,0,21.9,22.1,35.9,3.9,9.7,14.7,17.8,0,0,0,10546059,0,0,0,0,0,0,0,0.4,9.7,9.7,0,0,0,0,0,0,0,17.15,60,34.19,28.2,0,0,0,0
Denmark,DNK,Northern Europe,0.57,2.78,1.32,0.45,28.2,0,0,0,21.8,23.8,37.7,3.7,9.4,13.9,17.2,0,0,0,5683483,0.1,0.2,0.2,0,0,0.2,0.2,0.5,0,0,0,0,0,0,0,0,0,29.8,121.77,66.28,51.93,0,0,0,0
Djibouti,DJI,Sub-Saharan Africa,0,0,0,0,44.1,0,0,0,20.9,34.1,50,1.7,4.9,9.7,14.6,0.2,0.4,0.7,927414,7.5,18,36.2,0,0,22.5,44.6,74.8,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,DOM,Latin America and the Caribbean,0,1.75,2.52,0,44.7,81.8,80.11,77.76,21,34.5,50.6,1.9,5.1,9.4,13.9,0.2,0.7,2.4,10528394,0.5,2,7.2,0,0,1.9,7,22.7,32.3,32.3,18.2,19.89,22.24,0,0,51.2,51.2,4.22,48.65,20.05,12.54,0,0,36.3,36.3
Ecuador,ECU,Latin America and the Caribbean,0,1.33,2.46,0,46,68.44,61.06,68.18,21.3,34.9,51.3,1.6,4.6,9.1,13.8,0.6,1.5,4,16144368,1.2,3.3,8.8,8.5,8.5,3.4,9.4,24.7,23.3,23.3,31.56,38.94,31.82,13.6,13.6,35.3,35.3,4.1,42.94,17.26,12.26,5.1,5.1,16.4,16.4
"Egypt, Arab Rep.",EGY,Northern Africa,2.58,-1.58,0.26,0.78,31.8,27.39,28.65,49.62,20.6,27.8,41.5,3.9,9.1,12.8,16,1.3,15.1,58.1,93778172,0.2,3,18.5,0,0,1.3,16.1,61.9,27.8,27.8,72.61,71.35,50.38,0,0,32.3,32.3,2.99,13.65,6.76,5.25,0,0,15.3,15.3
El Salvador,SLV,Latin America and the Caribbean,0,1.62,2.12,0,40.6,64.44,72.46,74.74,21.4,31.8,47.2,2.4,6.1,10.5,14.8,0.1,0.6,2,6312478,0.4,2.4,10,0,0,1.9,9.9,31.8,34.9,34.9,35.56,27.54,25.26,0,0,37.9,37.9,3.46,32.78,14.26,8.86,0,0,28.5,28.5
